
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 183 | (-1.8116e-05, 6.7841e-05)
Max no. 184 | (-2.4071e-05, 4.7435e-04)
Max no. 185 | (-3.1284e-05, 1.7282e-04)
Max no. 186 | (-4.0447e-05, 6.4976e-04)
Max no. 187 | (-5.1599e-05, 5.4671e-05)
Max no. 188 | (-6.6315e-05, 3.9195e-03)
Max no. 189 | (-1.0616e-04, 5.8273e-04)
Max no. 190 | (-1.2046e-04, 1.2255e-03)
Max no. 191 | (-8.6255e-04, 3.9569e-04)
Max no. 192 | (-4.1662e-03, 2.7836e-03)
Max no. 193 | (-2.0333e-01, 2.0333e-01)
Max no. 194 | (-2.3094e-01, 2.3094e-01)
Max no. 195 | (-2.8341e-01, 2.8341e-01)
Max no. 196 | (-3.3096e-01, 3.3096e-01)
Max no. 197 | (-3.3380e-01, 3.3380e-01)
Max no. 198 | (-3.5108e-01, 3.5108e-01)
Max no. 199 | (-3.7493e-01, 3.7493e-01)
------------------------------------------------------------------------------------------------------------------------------------
